first_name,last_name,title,location,address,postcode,description,state,city,author_id
Ira,Cosyns,Mrs,Lubbock,4574 Nelson Center,79410,"Revision of Autol Sub in R Clavicle, Extern Approach",Texas,Kansas City,8
Wayne,Sowman,Mr,Houston,2774 Green Ridge Point,77060,"Removal of Int Fix from R Carpal Jt, Perc Approach",Texas,San Antonio,9
Livy,Kornyakov,Dr,Houston,384 Fallview Drive,77206,"Replacement of Bi Breast with Autol Sub, Open Approach",Texas,Dallas,10
Brant,Feast,Dr,Waco,74231 Coolidge Avenue,76711,"Supplement Scalp Subcu/Fascia w Autol Sub, Perc",Texas,Boulder,11
Andre,Geroldini,Mrs,Dallas,8989 Glacier Hill Park,75210,"Extirpation of Matter from Cerv Spinal Cord, Open Approach",Texas,Washington,12
Noll,Mattocks,Dr,El Paso,86 Shasta Lane,88574,"Release Genitalia Skin, External Approach",Texas,Indianapolis,13
Eleanor,Wagg,Mrs,El Paso,47 Gulseth Street,79968,"Reposition Right Hip Joint with Int Fix, Perc Endo Approach",Texas,Winston Salem,14
Siward,Getty,Dr,Dallas,4 Monica Street,75251,"Drainage of Urethra, External Approach",Texas,Tulsa,15
Bancroft,Messer,Ms,Amarillo,1116 Vidon Park,79188,"Removal of Ext Fix from L Up Femur, Perc Endo Approach",Texas,Rochester,18
Lilia,de Wilde,Dr,El Paso,78818 5th Lane,79945,"Bypass L Axilla Art to R Low Leg Art w Synth Sub, Open",Texas,Cedar Rapids,19
Hesther,Exon,Honorable,El Paso,28928 Mendota Place,88574,"Insertion of Int Fix into Sternum, Perc Endo Approach",Texas,Houston,20
Cathryn,Fairnie,Mr,Temple,957 Barby Avenue,76505,"Supplement Left Pulmonary Vein with Synth Sub, Open Approach",Texas,Boise,21
Jordanna,Zarfat,Mr,El Paso,2064 Paget Hill,79923,"Extirpation of Matter from Right Choroid, Open Approach",Texas,Portsmouth,22
Wittie,Mignot,Rev,Dallas,2 Westerfield Street,75358,"Dilate of 2 Cor Art with 3 Intralum Dev, Perc Endo Approach",Texas,Lynchburg,23
Collie,Durtnall,Rev,Mesquite,3 Judy Hill,75185,"Revision of Drainage Device in Occip Jt, Perc Approach",Texas,Erie,24
Zacharia,Calles,Mrs,Midland,90181 Longview Lane,79705,"Dilation of 3 Cor Art, Perc Endo Approach",Texas,Miami,25
Nyssa,Bulbeck,Honorable,San Antonio,8228 Pine View Parkway,78235,"Removal of Monitor Dev from Tracheobronc Tree, Perc Approach",Texas,Houston,27
Culver,Cabrales,Ms,Austin,20205 Norway Maple Lane,78721,"Destruction of Left Upper Lung Lobe, Perc Endo Approach",Texas,Syracuse,28
Esra,Colston,Ms,El Paso,03 Oak Valley Place,88535,"Dilation of Left Brachial Vein, Perc Endo Approach",Texas,Atlanta,29
Clay,Dytham,Dr,Abilene,2 Morningstar Pass,79605,"Removal of Ext Fix from L Tarsal, Perc Endo Approach",Texas,Staten Island,1
Corbin,Nottingam,Honorable,El Paso,8590 La Follette Trail,88558,"Muscles, Insertion",Texas,Bradenton,2
Stephani,Paddemore,Mr,Houston,744 Cambridge Terrace,77206,"Drainage of Cecum, Percutaneous Endoscopic Approach",Texas,Pasadena,3
Felicio,Clynter,Rev,Fort Worth,3155 Moose Street,76178,"Destruction of Bilateral Spermatic Cords, Perc Approach",Texas,Miami,4
Bink,Pierri,Dr,Katy,0940 Katie Center,77493,"Revision of Infusion Device in Periton Cav, Perc Approach",Texas,Trenton,5
Amaleta,Ruckert,Mrs,Austin,47375 Crowley Road,78783,"Destruction of Cecum, Percutaneous Approach",Texas,Lafayette,6
Kelcie,Everingham,Dr,Fort Worth,64 Upham Lane,76198,"Bypass R Kidney Pelvis to L Ureter w Nonaut Sub, Open",Texas,Cleveland,7
